year,base,optimistic,pessimistic,ci_lower,ci_upper
2025,53.77091638662205,56.45946220595315,51.082370567290944,42.45485111050538,65.08698166273871
2026,58.541832773244096,61.4689244119063,55.61474113458189,47.22576749712743,69.85789804936076
2027,63.312749159866144,66.47838661785946,60.14711170187283,51.996683883749476,74.6288144359828
